"","pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
"4596",3.1,3.16829204559326,3.23408341407776,3.19525265693665,2.90384292602539,3.23595237731934,3.45210361480713,4.11500883102417,4.39095783233643,3.11638212203979,1.76690125465393
"4597",2.9,3.04480886459351,3.08631229400635,3.05264258384705,2.77610087394714,3.07444715499878,3.17457103729248,3.72433614730835,3.97541093826294,2.73919343948364,1.49647772312164
"4598",4.1,2.79153442382812,2.85070466995239,2.80148839950562,2.65003323554993,2.8026020526886,2.45808219909668,2.6445951461792,2.23637342453003,1.00721442699432,-0.185230016708374
"4599",5.1,4.1229887008667,4.06007480621338,4.08223438262939,3.8544602394104,4.03086090087891,3.55068135261536,3.61936521530151,3.35399103164673,2.36337852478027,1.56786799430847
"4600",3.6,5.14189386367798,5.06321334838867,5.12672996520996,4.80424022674561,5.02029228210449,4.69238567352295,4.74943685531616,4.77468299865723,4.02069473266602,3.56313300132751
"4601",3.4,3.33568501472473,3.30475735664368,3.31287264823914,3.00517821311951,3.21643304824829,3.04799032211304,3.3447961807251,3.54969930648804,3.00350069999695,2.7117280960083
"4602",3.2,3.46422481536865,3.43920755386353,3.43703269958496,3.11381959915161,3.37576818466187,3.21857905387878,3.67921233177185,3.80945515632629,3.33237504959106,3.05452299118042
"4603",3.1,3.19120240211487,3.17218995094299,3.16924524307251,2.85926556587219,3.10003328323364,2.74966335296631,3.09019708633423,3.12790250778198,2.79593944549561,2.76287937164307
"4604",3.7,3.19827318191528,3.3698422908783,3.1899242401123,3.01379537582397,3.19816517829895,3.34738302230835,3.89571571350098,4.3462176322937,3.65157389640808,2.57131123542786
"4605",3.4,3.7231502532959,3.68987131118774,3.60551166534424,3.43360662460327,3.63845896720886,3.17387199401855,3.73042702674866,4.00238084793091,4.21053695678711,3.87281107902527
"4606",3,3.30056047439575,3.2368688583374,3.19536709785461,3.00695610046387,3.23808526992798,2.7846794128418,3.43957185745239,3.81800293922424,4.26016330718994,3.9972071647644
"4607",3.1,3.1479377746582,3.08852219581604,3.02649688720703,2.87204885482788,3.14831638336182,2.94113397598267,3.89966297149658,4.35815048217773,4.95589828491211,4.54623699188232
"4608",3.4,3.20262432098389,3.11242842674255,3.07404589653015,2.91291379928589,3.19105982780457,2.75414562225342,3.59334301948547,3.98859119415283,4.6773796081543,4.3779239654541
"4609",2.9,3.49686431884766,3.37181735038757,3.3619077205658,3.19811725616455,3.49596524238586,2.95705437660217,3.83076882362366,4.18616247177124,5.09502220153809,4.9463472366333
"4610",4.7,2.95568060874939,3.03048610687256,2.92861318588257,2.71259880065918,2.88273882865906,2.8673791885376,3.34615707397461,3.86255931854248,3.46449375152588,2.38298892974854
"4611",4.8,4.82621908187866,4.8259220123291,4.78571701049805,4.55278396606445,4.70181941986084,4.39194059371948,4.59604072570801,4.963791847229,4.35235166549683,3.3091344833374
"4612",3.8,4.57288789749146,4.39342403411865,4.46035289764404,4.28398323059082,4.55155658721924,3.84352278709412,4.38875770568848,4.62493324279785,5.17551136016846,5.06072998046875
"4613",3.4,3.6185622215271,3.66654324531555,3.5913233757019,3.39559888839722,3.55405402183533,3.55897617340088,3.8575873374939,4.39783668518066,3.59705948829651,2.38624310493469
"4614",2.8,3.21230792999268,3.22332096099854,3.1292712688446,2.98635315895081,3.11103844642639,2.80920457839966,2.86700248718262,3.24170279502869,2.31500601768494,1.04633092880249
"4615",2.7,2.57520055770874,2.64926385879517,2.55135750770569,2.38440489768982,2.55734944343567,2.36336231231689,2.62947702407837,3.01912641525269,2.06100130081177,0.763320446014404
"4616",2.6,2.64685392379761,2.74191808700562,2.60477495193481,2.44809222221375,2.6053729057312,2.42129993438721,2.64892721176147,2.93305563926697,1.81334578990936,0.421403646469116
"4617",2.3,2.56485414505005,2.66985034942627,2.54037523269653,2.38269805908203,2.54747080802917,2.40607810020447,2.65527772903442,2.88626098632812,1.64172840118408,0.182702779769897
"4618",1.9,2.22558379173279,2.34897780418396,2.21847248077393,2.08659029006958,2.23193311691284,2.07025480270386,2.29556775093079,2.42854881286621,1.08652341365814,-0.486279726028442
"4619",1.6,1.8503258228302,1.98737168312073,1.86479473114014,1.72767305374146,1.89133095741272,1.81281900405884,2.17231750488281,2.3068585395813,0.922762513160706,-0.689436197280884
"4620",1.6,1.57756304740906,1.71715784072876,1.60863852500916,1.45454013347626,1.65436935424805,1.61046612262726,2.11257600784302,2.29984664916992,0.953685760498047,-0.620790004730225
"4621",1.9,1.64128482341766,1.78708171844482,1.70251095294952,1.54109919071198,1.73317134380341,1.66936063766479,2.20134997367859,2.23204374313354,0.892803430557251,-0.619363784790039
"4622",2.1,1.97606933116913,2.08656883239746,2.04140949249268,1.85049569606781,2.04600214958191,1.88594198226929,2.39710307121277,2.33690643310547,1.14896941184998,-0.156483888626099
"4623",2.3,2.12953543663025,2.20775890350342,2.17933535575867,1.9769641160965,2.18087863922119,1.96221816539764,2.43007326126099,2.37564492225647,1.24013781547546,0.083251953125
"4624",2.5,2.31461954116821,2.35037016868591,2.35577273368835,2.10914850234985,2.32950592041016,2.09738111495972,2.57460832595825,2.59941840171814,1.62885117530823,0.718295097351074
"4625",2.2,2.4900279045105,2.49521565437317,2.51366019248962,2.2941906452179,2.48530435562134,2.07490587234497,2.47105717658997,2.33743929862976,1.49362540245056,0.770145177841187
"4626",2,2.1253445148468,2.13217926025391,2.15134358406067,1.88335835933685,2.10891127586365,1.74480628967285,2.25260066986084,2.27928519248962,1.73546171188354,1.30890512466431
"4627",1.8,1.98291349411011,1.99516129493713,2.00730395317078,1.72059166431427,1.95098984241486,1.56228828430176,2.10727286338806,2.0989727973938,1.70787465572357,1.46538174152374
"4628",1.8,1.90748429298401,2.04664301872253,1.91055631637573,1.81427216529846,1.8439302444458,1.53709983825684,1.8034930229187,1.97036695480347,0.965827465057373,-0.296260118484497
"4629",1.9,1.94422924518585,2.06053280830383,1.9437038898468,1.80245316028595,1.86733078956604,1.56944036483765,1.94304966926575,2.18205499649048,1.45650970935822,0.301303148269653
"4630",2,2.07612061500549,2.18164014816284,2.08231711387634,1.88081502914429,1.99662756919861,1.8325514793396,2.34538078308105,2.77408862113953,2.28063774108887,1.19379734992981
