"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
4.8,4.71621760959055,4.70756080792725,4.6717221001714,4.62446341381815,4.52365408441347,4.21092560551021,3.83963485239098,3.79491718093675,3.94544318305252,4.17674137598939
4.8,4.96333942912219,4.95435100265742,4.91752639643167,4.86981630909511,4.7707298155947,4.48156780229311,4.1757899491039,4.27336413893474,4.43217048118968,4.65795853789902
5.3,5.4083249390392,5.39886852992381,5.36187825096906,5.31783465672499,5.23886281931782,5.09549123344148,5.13453431427112,5.89199707979733,6.08575473021687,6.31923758196489
5.7,6.01114662906925,6.00135934119324,5.96335769347253,5.91876640921394,5.84111301728973,5.71869084194492,5.81724813161438,6.70154030482334,6.89182538899382,7.09070124352609
5.7,6.06508263141056,6.0547070026225,6.01315811647378,5.96145221435974,5.86091202999974,5.61521261196841,5.45984464553806,5.9264719022423,6.10581134767379,6.29737835977678
5.9,6.26803072810355,6.25771702689409,6.21723048078098,6.16869263617864,6.08050217085404,5.91103984737291,5.92426458179055,6.69205867179125,6.88255720984931,7.07061213489126
5.9,6.45431512777998,6.44354197026599,6.40099931032351,6.34941243238341,6.25364865437404,6.05342872147074,6.01512144915143,6.72079497621082,6.91269949811741,7.100840904045
5.9,6.17190265164701,6.16068221788231,6.11496178214814,6.05627699639443,5.9361729854658,5.59806424142359,5.26770170881112,5.48003021858343,5.66859404148298,5.89482636531869
6.1,6.36285611850351,6.35167082540038,6.30666063851426,6.25015071712463,6.13860391220146,5.85360880110905,5.64097689321333,6.06369767505994,6.25960999989361,6.48182765331901
6.4,7.05971270835584,7.0486094218923,7.0059924758367,6.95714152627325,6.87618105383717,6.78270637012691,6.99637244906516,8.18380003046359,8.4026120392318,8.59484078262684
5.9,5.83060843651742,5.82182234118106,5.78631260807967,5.74138246971582,5.65153376761919,5.41341221817751,5.21395813181193,5.46964116814054,5.57786305447058,5.63622041860262
5.5,5.15428427799856,5.14509143567936,5.10700274001184,5.05670941399544,4.94921146025387,4.61424532199104,4.21327571770511,4.14017636460768,4.26076853682609,4.38536826663465
5.8,5.59059069336703,5.58200105094071,5.54968847631365,5.51420111509949,5.46103326320102,5.44886095462443,5.74855791786623,6.89796679079908,7.05091823710988,7.14144638961952
5.9,5.92252805489987,5.91383356370555,5.88099309820834,5.84460393013901,5.78886157714147,5.7642882168688,6.04015807939197,7.15217313011686,7.29968593723934,7.37427499994274
5.5,6.00876012536,6.00007325715403,5.96732947162448,5.93121078520868,5.87649915757831,5.85822234905336,6.14804434338286,7.28636116332735,7.43431262116061,7.49550903880416
9.1,6.45927781072096,6.45036408189697,6.41977634920482,6.39328756293868,6.38059290923774,6.63831796934231,7.55574578774716,9.85242362539267,10.0638253258367,10.1711100212377
25.1,9.96712129780811,9.95859157507319,9.92916289286009,9.90325776328964,9.8888163372161,10.1207669179897,10.9651896458084,13.0701975802329,13.1804292584573,13.0106780304799
20.6,25.0063453783759,24.9986258626686,24.9686663787556,24.9335432742038,24.8724871641053,24.7769893448717,24.8553778161072,25.4275749935236,25.1968533953904,24.1515052827154
20.6,19.6466682622899,19.6386958136574,19.6098137865881,19.5807739904211,19.5474744575594,19.6388496255201,20.1495813812728,21.6487096216158,21.7320940508983,21.3479136666882
14.6,20.5246172548014,20.5174365179943,20.4914599370687,20.465429698947,20.4359140484909,20.5205079854311,20.9818127100296,22.2393888743044,22.1504248708947,21.4960057883136
16.3,13.454305664836,13.4466162957327,13.4166791628927,13.3813606259568,13.3191765925855,13.2154618114291,13.2757341540618,13.9318648730106,14.0539803120981,14.0423093401435
17.1,16.3287994032436,16.3218549582984,16.2954533266531,16.2657849266899,16.2187660316632,16.1829342188066,16.3650872519735,17.119170207644,17.0813652773774,16.6972277221878
